SKU Prefix,Crop,Common Name,Variety,Description Line 1,Description Line 2,Description Line 3,Group,BACK 1,BACK 2,BACK 3,BACK 4,BACK 5,BACK 6,BACK 7,Days,Species,Radicchio Type
CHI-IN,RADICCHIO,,Incantatore,“Treviso tardivo” type with long slender ,burgundy leaves & pure white ribs for forcing.,,Greens,Sow: late June    Transplant: mid-July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: Part to full sun,Harvest after frost; dig and force indoors,See website for detailed growing instructions,110-120 Days,Cichorium intybus,Treviso Tardivo
SMA-MD,CHICORY,,Medusa,(Puntarelle di Galantina type) “Pinecone” ,chicory grown for its “heads” of bolting stems.,,Greens,Sow: last two weeks of June,Transplant mid July,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Harvest when forms bolting “heads” Sept-Nov.,90-110 Days,Cichorium intybus,Puntarelle di Gallantina
CHI-BO,"CHICORY, SUGARLOAF",SUGARLOAF CHICORY,Borca,Tall light green romaine like heads. Sweetest ,"radicchio type, crispy, w/a mild bitterness.",,Greens,Sow: mid-June through early July,Transplant or direct seed,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp:55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Culture similar to lettuce. Sweetens after frost.,70-80 Days,Cichorium intybus,
COL-CG,COLLARDS,,Cascade Glaze,"Unique, Oregon-bred glossy leaved variety. ","Extremely tender, top notch sweet flavor.",,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼- ½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",60 Days,Brassica oleracea,
COL-CH,COLLARDS,,Champion,Large wavy dark green leaves to scratch ,that Southern home cookin’ itch.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼- ½” ,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",55 Days,Brassica oleracea,
COR-FL,"CORN, DRY",DRY CORN,Floriani Red Flint,Landrace variety for exceptionally creamy ,"polenta, wonderful breads & corncakes.",,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,90-100 Days,Zea mays,
COR-RC,"CORN, DRY",DRY CORN,Roy's Calais Flint,"*Ark of Taste Heirloom* Flavorful cornmeal,",hominy & posole. Classic 8-row flint.,,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,90 Days,Zea mays,
COR-PM,"CORN, FLOUR",FLOUR CORN,Painted Mountain,"Early maturing, 5’ plants w/long slender ",ears in an amazing spectrum of colors.,,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,85 Days,Zea mays,
COR-AB,"CORN, POPPING",POPPING CORN,Amish Butter,"Versatile corn for flour, polenta & popping. ","Serious flavor & fluffy, big popcorn!",,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,95-100 Days,Zea mays,
COR-DB,"CORN, POPPING",POPPING CORN,Dakota Black,Gorgeous 6-7” glossy garnet-black ears. ,Kernels pop pure white and delicious!!,,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,95-100 Days,Zea mays,
COR-TU,"CORN, SWEET",SWEET CORN,Tuxana,Well-bred and soulful with a compelling ,creaminess. Classic sweetness. White kernels.,,Grain & Corn,Sow: when soil is >65F (Early June in PNW),or transplant 3-4 week old plants,Planting Depth: 1”,Days to germinate: 4-10 @ Soil temp: 65-85F,Spacing after thinning: 8-12”,Light: full    Fertility: heavy,Plant in blocks of 4 rows for good pollination,80 Days,Zea mays,
CUC-LE,CUCUMBER,,Lemon,Vigorous plants with small round yellow ,fruits & an irresistible crunch. Kid favorite!,,Cuke & Melon,Sow: in flats 3-4 wks before last frost date,Transplant or direct seed after last frost date,Planting Depth: ½ - ¾ ”,Days to Germinate: 4-9 @Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,65-70 Days,Cucumis sativus,
CUC-SA,CUCUMBER,,Sandita,aka Mexican Sour gherkin. Fruits look like ,mini-watermelons and taste lightly pickled.,,Cuke & Melon,Sow: in flats 3-4 wks before last frost date,Transplant or direct seed after last frost date,Planting Depth: ½ ”,Days to Germinate: 4-9 @Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full sun,Notes: trellis to save space. Excellent climber.,65-70 Days,Cucumis sativus,
CUC-SH,CUCUMBER,,Shintokiwa,"Smooth skinned, long & slender like English ",cukes. Crisp & juicy w/no bitterness. Yum!,,Cuke & Melon,Sow: in flats 3-4 wks before last frost date,Transplant or direct seed after last frost date,Planting Depth: ½ - ¾ ”,Days to Germinate: 4-9 @Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,75 Days,Cucumis sativus,
CUC-SS,CUCUMBER,,Silver Slicer,"Pure white, slicer sized fruits w/sweet, never ",bitter flavor. Compact & very productive.,,Cuke & Melon,Sow: in flats 3-4 wks before last frost,Transplant or direct seed after last frost,Planting Depth: ½ - ¾ ”,Days to Germ: 4-9 @ Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,55-60 Days,Cucumis sativus,
CUC-SM,CUCUMBER,,Sweet Marketmore,High quality & productive w/everything, you love about long green slicing cukes!,,Cuke & Melon,Sow: in flats 3-4 wks before last frost,Transplant or direct seed after last frost date,Planting Depth: ½ - ¾ ”,Days to Germinate: 4-9 @ Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,60-65 Days,Cucumis sativus,
CUC-VO,CUCUMBER,,Vorgebirgstrauben,Very productive and tasty pickling cuke ,with crisp texture. Never bitter!,,Cuke & Melon,Sow: in flats 3-4 wks before last frost,Transplant or direct seed after last frost date,Planting Depth: ½ - ¾ ”,Days to Germinate: 4-9 @ Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,55-60 Days,Cucumis sativus,
CUC-CE,"CUCUMBER, PERSIAN",PERSIAN CUCUMBER,Çengelköy,"An old Istanbul market favorite, sweet ",& crisp. Pick 4-5” fruits. Persian type.,,Cuke & Melon,Sow: in flats 3-4 wks before last frost,Transplant or direct seed after last frost date,Planting Depth: ½ - ¾ ”,Days to Germinate: 4-9 @ Soil Temp: 70-85F,Spacing after Thinning: 12-24”,Light: full to partial sun,Notes: trellis to save space in small gardens,65-70 Days,Cucumis sativus,
EGG-DI,EGGPLANT,,Diamond,"Prolific, slender, 8-12” non-bitter, creamy ",fruits. Perfect for cool-climate growers. ,,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost",Transplant: after danger of frost (PM temps >45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full Sun      Fertility: moderate,Notes: protect well from cold nights,70-80 Days,Solanum melongena,
EGG-VI,EGGPLANT,,Violetta di Firenze,"Large & slightly ruffled, electric violet fruits ","w/rich, creamy flavor. Dazzling & delectable!",,Eggplant & Pepper,"Sow: indoors, 5-8 weeks before last frost",Transplant: after danger of frost (PM temps >45F),Planting Depth: ¼” ,Days to Germinate: 10-14 @ Soil Temp: 70-85F,Spacing: 1.5’,Light: full Sun      Fertility: moderate,Notes: protect well from cold nights,75-90 Days,Solanum melongena,
CHI-MA,"ENDIVE, BELGIAN",BELGIAN ENDIVE,Macun,"aka Witloof. Forced roots produce dense, ","sweet, & crunchy heads for winter salad.",,Greens,Direct Seed: April-May,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: Part to full sun,"Culture like lettuce, then dig roots in Oct.",Force indoors @ ~50F. Chicons in 3-4 weeks!,25-30 Days,Cichorium endivia,
CHI-BQ,"ENDIVE, CURLY",CURLY ENDIVE,Bellesque,Blanched hearts of frilly leaves that add loft ,& crunch to a salad. Bred in Bellingham.,,Greens,Sow: April-late July (best as a fall crop),Transplant or direct seed,Planting Depth: ¼”,Days to Germinate: 5-12 @ Soil Temp: 55-80F,Spacing after Thinning: 8-12”,Light: part to full sun,Culture similar to lettuce. Best as fall crop.,65-75 Days,Cichorium endivia,
FEN-FI,FENNEL (FINOCCHIO),,Finale,"OP selection w/big, juicy, sweet bulbs.",Uniform & bolt resistant.,,Misc,Sow: in flats 4-5 weeks before planting,Transplant/direct seed spring-summer,Planting Depth: ¼ - ½ ”,Days to Germ: 7-14 @ Soil Temp: 60-70F,Spacing after Thinning: 6-8”,Light: full to partial sun,Transplant gently to avoid early bolting.,87 Days,Foeniculum vulgare,
GRE-AS,"GREENS, ARUGULA",ARUGULA,Astro,Vigorous strain of this classic green.,Less deeply lobed leaf & mildly spicy. ,,Greens,Sow: every 3 wks from mid spring,Direct seed,Planting Depth: ¼ - ½”,Days to Germinate: 3-10 @ Soil Temp: 45-70F,Spacing after Thinning: 3-5”,Light: full to partial sun,Notes: early and heat tolerant,21 (baby)-35 Days,Eruca vesicaria subsp. sativa,
GRE-RU,"GREENS, ARUGULA",ARUGULA,Rucola,"aka “Sylvetta”. Cold tolerant, spicy &",slow growing w/deeply lobed leaves.,,Greens,Sow: every 3 wks from mid spring,Direct seed,Planting Depth: ¼ - ½”,Days to Germinate: 3-10 @ Soil Temp: 45-70F,Spacing after Thinning: 3-5”,Light: full to partial sun,Notes: early and heat tolerant,50 Days,Diplotaxis tenuifolia,
GRE-MZ,"GREENS, ASIAN",ASIAN GREEN,Early Mizuna,Mild & sweet early-late season Japanese ,mustard w/graceful fernlike leaves.,,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germ: 3-10 @ Soil Temp: 60-65F,"Spacing: 1” (baby), 4-6” (bunching)",Light: full to partial sun,Notes: delicious mild greens for salad or braising,21 (baby)-40 Days,Brassica rapa,
GRE-RS,"GREENS, ASIAN",ASIAN GREEN,Ruby Streaks,A spicy little number w/delicate deeply ,lobed leaves and rich purple color.,,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germinate: 3-10 @ Soil Temp: 60-65F,"Spacing: 1” (baby), 4-6” (bunching)",Light: full to partial sun,Notes: delicious spicy greens for salad or braising,21 (baby)-40 Days,Brassica juncea,
GRE-TA,"GREENS, ASIAN",ASIAN GREEN,Tatsoi,"Dark green rosettes of mild, ",succulent leaves. Excellent raw or sautéed. ,,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germinate: 3-10 @ Soil Temp: 60-65F,"Spacing: 1” (baby), 4-6” (bunching)",Light: full to partial sun,Notes: delicious mild greens for salad or braising,21 (baby)-40 Days,Brassica rapa var.chinensis,
GRE-WC,"GREENS, CRESS",CRESS/SPECIALTY GREENS,Wrinkled Crinkled Crumpled,Long-stemmed w/distinct peppery pungency. ,Gone to seed? Lovely bouquet filler!,,Greens,Sow: every 2 wks from spring to late fall,Planting Depth: ¼-½”,Days to Germinate: 3-6 @ Soil Temp: 50-70F,Spacing after Thinning: 2-4”,Light: Full to part sun,Notes: great in salad. Cut and come again.,,21 Days,Lepidium sativum,
MIX-MI,"GREENS, MESCLUN",MESCLUN,Uprising Mild Mix,"Gorgeous mix of lettuces, mild mustards, ","arugula, spinach, and specialty greens. ",,Greens,Sow: early/mid April-early Sept,Direct Seed,Planting Depth: ¼”,Days to Germinate: 4-7 @ Soil Temp: 60-70F,Spacing after Thinning: Best as dense planting,Light: full-part sun,Notes: cut and come again salad mix,25-30 Days,,
MIX-SP,"GREENS, MESCLUN",MESCLUN,Uprising Spicy Mix,This mix packs a frisky heat with some spicier ,greens added to our classic mesclun mix. ,,Greens,Sow: early/mid April-early Sept,Direct Seed,Planting Depth: ¼”,Days to Germinate: 4-7 @ Soil Temp: 60-70F,Spacing after Thinning: Best as dense planting,Light: full-part sun,Notes: cut and come again salad mix,25-30 Days,,
GRE-GF,"GREENS, MUSTARD",MUSTARD,Golden Frills,"Finely cut, chartreuse leaves of mild spiciness ",add loft & a light kick to a salad.,,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germinate: 3-10 @ Soil Temp: 60-65F,"Spacing: 1” (baby), 4-6” (bunching)",Light: full to partial sun,Notes: delicious mild greens for salad or braising,21 (baby)-40 Days,Brassica juncea,
GRE-GW,"GREENS, MUSTARD",MUSTARD,Green Wave,"Slow to bolt upright plants w/succulent, ","frilled, sweet & spicy leaves.",,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼-½”,Days to Germinate: 3-10 @ Soil Temp: 60-65F,"Spacing: 1” (baby), 4-6” (bunching)",Light: full to partial sun,Notes: delicious mild greens for salad or braising,20-40 Days,Brassica sp.,
GRE-ES,"GREENS, SPECIALTY",SPECIALTY GREENS,Erba Stella (Minutina),"Delightful succulent greens w/long, slender, ",antler-like leaves and a satisfying crunch.,,Greens,Sow: early spring to late summer,Transplant or direct seed,Planting Depth: ¼,Days to Germinate: 3-10 @ Soil Temp: 60-65F,Spacing: 4-6” after thinning,Light: full to partial sun,"Notes: delicious crunchy, mild greens for salad",50 Days,Plantago coronopus,
TGC-AM,GROUND CHERRY,,Aunt Molly's,*Ark of Taste Heirloom* Tropical fruit flavor ,"in the PNW! Bushy, low growing habit.",,Misc,Sow: 6-8 weeks before last frost,Transplant out 6-8 wk old plants,Planting Depth: ¼”,Days to Germinate: 14-20 @ Soil Temp: 75-85F,Spacing after Thinning: 18-24”,Light: full sun  Notes: slow germ! Bears until,heavy frost. Fruit will drop when ripe.,75 Days,Physalis pruinosa,
KAL-3K,KALE,,A Tale of 3 Kales,A tempting international soiree of ,"Scotch, Tuscan, and Russian!!",,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",55 Days,,
KAL-BL,KALE,,Black Tuscan,"Long, slender dark green savoyed leaves. ",Excellent flavor and vitamin-rich.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",55 Days,Brassica oleracea var. viridis,
KAL-DB,KALE,,Dazzling Blue,"Robust, cold hardy lacinato type w/striking", magenta midribs. Bred at Avoca Farm in OR.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",60 Days,Brassica oleracea var. viridis,
KAL-DW,KALE,,Dwarf Blue Scotch,Classic curly kale. Handsome & sturdy ,upright plants w/tasty blue-green leaves.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",55 Days,Brassica oleracea var. viridis,
KAL-RF,KALE,,Russian Frills,*Rare* Oregon-bred variation of Red Russian ,with hyper frilled leaves. Tender & beautiful.,,Brassicas,Sow: 4-6 wks before last frost date,Transplant out 2-4 wks before last frost ,Planting Depth: ¼-½”,Days to Germinate: 5-14 @ Soil Temp: 55-75F,Spacing after Thinning: 12-18”,Light: full to partial sun,"Notes: hardy biennial, gets sweeter after frost",55 Days,Brassica oleracea var. viridis,
LEE-BW,LEEK,,Blaugruner Avano,Excellent winter hardy leek w/attractive ,blue-green leaves and heavy shanks.,,Allium,Sow: in flats late Feb-mid May,Transplant out in 10wks/early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4-6”,Light: full sun ,Notes: hill the bases for longer white shanks,110 Days,Allium porrum,
LEE-LN,LEEK,,Lincoln,"Long shanked, autumn harvested variety  ",w/fantastic flavor. Popular baby leek variety.,,Allium,Sow: in flats late Feb-mid May,Transplant out in 10wks/early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4-6”,Light: full sun ,Notes: hill the bases for longer white shanks,50 (baby)-75 Days,Allium porrum,
LEE-NE,LEEK,,Neptune,Rust resistant fall crop w/strong shanks & ,excellent flavor. Overwinters in mild areas.,,Allium,Sow: in flats late Feb-mid May,Transplant out in 10wks/early Spring,Planting Depth: ¼”,Days to Germinate: 5-14 @ Soil Temp: 50-90F,Spacing after Thinning: 4-6”,Light: full sun ,Notes: hill the bases for longer white shanks,110 Days,Allium porrum,
LEN-BL,LENTIL,,Black,"Lovely, reliable & small seeded w/a rich, ",earthy flavor & elegant culinary presentation!,,Bean & Pulse,Sow: mid to late spring,Direct seed,Planting Depth: ½-1”,Days to Germinate: 10 @ Soil Temp: 65-70F,Spacing after Thinning: 4-5”,Light: full sun ,Notes: let pods dry on plant before harvest,100-120 Days,Lens sp. ,
LET-WD,"LETTUCE, BIBB/ROMAINE",BIBB/ROMAINE LETTUCE,Winter Density,"Bolt resistant & crunchy, 8” tall upright ","romaine w/tight dark green, succulent leaves.",,Lettuce,Sow: early/mid April-early Sept,Transplant 3-4 wk old plants or direct Seed,Planting Depth: ⅛ - ¼”,Days to Germinate: 2-10 @ Soil Temp: <68F,Spacing after Thinning: 8-12”,Light: full to partial sun,Notes: seed can be dormant at high soil temp,55 Days,Lactuca sativa,
